Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"SOURCEBUS", 0, 1,     230.94,    0.0,         0, 2,     230.94, -120.0,         0, 3,     230.94,  120.0,         0, 4,     1.3135,   -6.3,         0
"B291", 0, 1,     212.99,   -3.7,         0, 2,    226.068, -120.8,         0, 3,    218.034,  118.5,         0, 4,    4.82253,   -5.8,         0
"B2515", 0, 1,     212.99,   -3.7,         0, 2,    226.068, -120.8,         0, 3,    218.034,  118.5,         0, 4,    4.82253,   -5.8,         0
"B1328", 0, 1,    229.911,   -0.2,         0, 2,     230.01, -120.2,         0, 3,    230.034,  119.8,         0, 4,    1.34584,   -6.9,         0
"B1705", 0, 1,    229.907,   -0.2,         0, 2,    230.006, -120.2,         0, 3,    230.029,  119.8,         0, 4,    1.34256,   -6.9,         0
"B3296", 0, 1,    227.258,   -0.6,         0, 2,    226.713, -120.8,         0, 3,    227.902,  119.4,         0, 4,    1.94172,  -70.4,         0
"B1132", 0, 1,    227.259,   -0.6,         0, 2,    226.948, -120.8,         0, 3,    227.902,  119.4,         0, 4,    1.78641,  -64.9,         0
"B1194", 0, 1,    214.714,   -3.2,         0, 2,    226.838, -120.7,         0, 3,    220.469,  118.9,         0, 4,    5.56026,   -5.6,         0
"B680", 0, 1,    214.033,   -3.2,         0, 2,    226.858, -120.7,         0, 3,    220.469,  118.9,         0, 4,    6.21404,   -5.0,         0
"B3391", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622394,  -30.9,         0
"B2142", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622392,  -30.9,         0
"B177", 0, 1,    214.947,   -3.1,         0, 2,    225.884, -120.8,         0, 3,    220.533,  118.9,         0, 4,    5.20134,  -16.8,         0
"B1512", 0, 1,    214.949,   -3.1,         0, 2,    226.147, -120.8,         0, 3,    220.536,  118.9,         0, 4,    5.26304,  -13.9,         0
"B2038", 0, 1,    225.554,   -0.8,         0, 2,    225.423, -121.1,         0, 3,    227.152,  119.4,         0, 4,     2.4732,  -68.0,         0
"B2820", 0, 1,    225.198,   -0.9,         0, 2,    225.057, -121.2,         0, 3,    226.826,  119.4,         0, 4,    2.50926,  -72.0,         0
"B3284", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622479,  -30.9,         0
"B3019", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622446,  -30.9,         0
"B3375", 0, 1,    211.421,   -3.9,         0, 2,    226.702, -120.7,         0, 3,    216.703,  118.4,         0, 4,    5.51268,   10.4,         0
"B170", 0, 1,    211.425,   -3.9,         0, 2,    226.702, -120.7,         0, 3,    217.106,  118.4,         0, 4,    5.69687,    6.8,         0
"B2457", 0, 1,     212.99,   -3.7,         0, 2,    225.715, -120.8,         0, 3,     218.03,  118.5,         0, 4,    4.69659,   -9.9,         0
"B2679", 0, 1,    224.215,   -1.0,         0, 2,     224.56, -121.2,         0, 3,    226.289,  119.3,         0, 4,    2.50371,  -69.3,         0
"B1408", 0, 1,    224.488,   -1.0,         0, 2,    224.556, -121.2,         0, 3,    226.285,  119.3,         0, 4,    2.44265,  -75.3,         0
"B3136", 0, 1,    224.186,   -1.0,         0, 2,    223.671, -121.4,         0, 3,     225.98,  119.3,         0, 4,    3.06542,  -85.4,         0
"B1762", 0, 1,    224.121,   -1.0,         0, 2,    223.674, -121.4,         0, 3,    225.938,  119.3,         0, 4,    3.00478,  -85.4,         0
"B1121", 0, 1,    213.112,   -3.3,         0, 2,    225.906, -120.8,         0, 3,    220.423,  118.9,         0, 4,    6.86855,  -13.9,         0
"B2683", 0, 1,    213.363,   -3.3,         0, 2,    225.898, -120.8,         0, 3,    220.423,  118.9,         0, 4,    6.63668,  -14.4,         0
"B2571", 0, 1,    229.443,   -0.3,         0, 2,    229.242, -120.4,         0, 3,    228.283,  119.5,         0, 4,   0.259234,   63.2,         0
"B3036", 0, 1,    229.443,   -0.3,         0, 2,    229.242, -120.4,         0, 3,    228.283,  119.5,         0, 4,   0.259234,   63.2,         0
"B819", 0, 1,    212.371,   -3.6,         0, 2,    225.918, -120.8,         0, 3,    218.735,  118.6,         0, 4,    6.05686,  -11.3,         0
"B2153", 0, 1,    212.616,   -3.6,         0, 2,    225.911, -120.8,         0, 3,    218.735,  118.6,         0, 4,    5.82544,  -11.8,         0
"B2849", 0, 1,     229.45,   -0.3,         0, 2,    229.251, -120.4,         0, 3,    228.928,  119.5,         0, 4,   0.563479,  -32.5,         0
"B3114", 0, 1,    216.921,   -2.6,         0, 2,    226.928, -120.7,         0, 3,     221.76,  119.0,         0, 4,    5.06513,   -7.8,         0
"B2117", 0, 1,    215.066,   -3.0,         0, 2,    226.627, -120.7,         0, 3,     220.31,  118.9,         0, 4,    5.36386,   -5.8,         0
"B2861", 0, 1,    229.311,   -0.4,         0, 2,    229.001, -120.4,         0, 3,    228.649,  119.5,         0, 4,   0.498182,  -57.4,         0
"B3287", 0, 1,    229.303,   -0.4,         0, 2,    228.993, -120.4,         0, 3,    228.028,  119.4,         0, 4,   0.124211,  128.1,         0
"B3169", 0, 1,    216.581,   -2.6,         0, 2,    226.629, -120.7,         0, 3,    221.757,  119.0,         0, 4,    5.28196,  -10.5,         0
"B825", 0, 1,    212.616,   -3.6,         0, 2,    225.911, -120.8,         0, 3,    218.735,  118.6,         0, 4,    5.82544,  -11.8,         0
"B602", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622421,  -30.9,         0
"B339", 0, 1,     228.62,   -0.4,         0, 2,    228.492, -120.5,         0, 3,    228.233,  119.5,         0, 4,   0.622414,  -30.9,         0
"B186", 0, 1,    214.951,   -3.1,         0, 2,    226.758, -120.8,         0, 3,    220.542,  118.9,         0, 4,    5.45696,   -7.4,         0
"B1496", 0, 1,    224.723,   -0.9,         0, 2,    224.309, -121.3,         0, 3,    226.267,  119.3,         0, 4,     2.7159,  -83.5,         0
"B1528", 0, 1,    224.463,   -1.0,         0, 2,    224.039, -121.3,         0, 3,    226.123,  119.3,         0, 4,    2.83447,  -84.3,         0
"B568", 0, 1,    224.907,   -1.1,         0, 2,    225.031, -121.3,         0, 3,    227.831,  119.5,         0, 4,    3.80823,  -57.5,         0
"B3354", 0, 1,     224.91,   -1.1,         0, 2,    225.257, -121.3,         0, 3,    227.831,  119.5,         0, 4,    3.70262,  -54.4,         0
"B2323", 0, 1,    214.346,   -3.3,         0, 2,    226.743, -120.8,         0, 3,    220.193,  118.9,         0, 4,     5.8293,   -6.6,         0
"B1939", 0, 1,    214.349,   -3.3,         0, 2,    226.742, -120.8,         0, 3,    220.433,  118.9,         0, 4,    5.99597,   -8.3,         0
"B1922", 0, 1,    229.016,   -0.4,         0, 2,    228.854, -120.4,         0, 3,      227.9,  119.5,         0, 4,   0.335837,   62.0,         0
"B1895", 0, 1,    229.024,   -0.4,         0, 2,    228.862, -120.4,         0, 3,    228.578,  119.5,         0, 4,   0.599052,  -26.4,         0
"B29", 0, 1,     228.73,   -0.4,         0, 2,    228.587, -120.5,         0, 3,    228.351,  119.5,         0, 4,   0.615174,  -34.9,         0
"B2358", 0, 1,    225.953,   -0.7,         0, 2,    226.384, -120.9,         0, 3,    227.874,  119.5,         0, 4,    2.58436,  -48.2,         0
"B2890", 0, 1,    226.431,   -0.7,         0, 2,    226.375, -120.9,         0, 3,    227.869,  119.5,         0, 4,     2.3304,  -57.4,         0
"B835", 0, 1,    228.843,   -0.4,         0, 2,    228.575, -120.5,         0, 3,    228.108,  119.5,         0, 4,     0.3588,  -31.8,         0
"B2099", 0, 1,    228.846,   -0.4,         0, 2,    228.577, -120.5,         0, 3,    228.316,  119.5,         0, 4,   0.555257,  -40.6,         0
"B1516", 0, 1,    214.948,   -3.1,         0, 2,    226.758, -120.8,         0, 3,    220.284,  118.9,         0, 4,    5.28223,   -5.4,         0
"B3159", 0, 1,    227.848,   -0.6,         0, 2,    227.945, -120.7,         0, 3,    227.851,  119.3,         0, 4,   0.875034,  -41.7,         0
"B2880", 0, 1,    228.097,   -0.6,         0, 2,    227.941, -120.7,         0, 3,    227.848,  119.3,         0, 4,   0.723621,  -55.9,         0
"B3233", 0, 1,    214.932,   -3.0,         0, 2,      226.8, -120.7,         0, 3,     220.78,  118.9,         0, 4,    5.74789,   -6.6,         0
"B1829", 0, 1,     215.22,   -3.0,         0, 2,    226.792, -120.7,         0, 3,     220.78,  118.9,         0, 4,    5.47105,   -7.0,         0
"B2990", 0, 1,    213.765,   -3.2,         0, 2,    226.865, -120.7,         0, 3,    220.469,  118.9,         0, 4,    6.47219,   -4.8,         0
"B2552", 0, 1,    225.226,   -1.0,         0, 2,    225.675, -121.2,         0, 3,    227.787,  119.5,         0, 4,    3.33227,  -52.8,         0
"B1510", 0, 1,    225.226,   -1.0,         0, 2,    225.675, -121.2,         0, 3,    227.787,  119.5,         0, 4,    3.33227,  -52.8,         0
"B161", 0, 1,      224.9,   -0.9,         0, 2,    224.852, -121.2,         0, 3,    226.289,  119.3,         0, 4,    2.17407,  -76.6,         0
"B1182", 0, 1,    224.905,   -0.9,         0, 2,    224.854, -121.2,         0, 3,     226.55,  119.3,         0, 4,    2.42573,  -74.4,         0
"B1850", 0, 1,    228.049,   -0.6,         0, 2,    227.634, -120.7,         0, 3,    227.526,  119.3,         0, 4,   0.818691,  -71.8,         0
"B749", 0, 1,    228.053,   -0.6,         0, 2,    227.636, -120.7,         0, 3,    227.768,  119.3,         0, 4,      1.056,  -68.3,         0
"B806", 0, 1,    214.397,   -3.3,         0, 2,    226.781, -120.8,         0, 3,    220.479,  118.9,         0, 4,    5.97571,   -7.5,         0
"B2087", 0, 1,    214.397,   -3.3,         0, 2,    226.781, -120.8,         0, 3,    220.479,  118.9,         0, 4,    5.97571,   -7.5,         0
"B3123", 0, 1,    225.637,   -0.9,         0, 2,    225.819, -121.1,         0, 3,    227.508,  119.5,         0, 4,    2.80085,  -55.9,         0
"B1736", 0, 1,    225.643,   -0.9,         0, 2,     225.82, -121.1,         0, 3,    227.794,  119.5,         0, 4,    3.09259,  -55.9,         0
